obs,tipo,fecha,track,comercial,descarte,total,year,viaje,lance,mes,dia
JC3,Merluza,2023-03-07T00:00:00Z,JC332023,2000,NA,2000,2023,NA,NA,3,7
JC3,Merluza,2023-03-07T00:00:00Z,JC342023,3000,NA,3000,2023,NA,NA,3,7
JC3,Merluza,2023-03-07T00:00:00Z,JC352023,3000,NA,3000,2023,NA,NA,3,7
JC4,Merluza,2023-03-12T00:00:00Z,JC412023,7700,NA,7700,2023,NA,NA,3,12
JC4,Merluza,2023-03-13T00:00:00Z,JC422023,6050,NA,6050,2023,NA,NA,3,13
JC5,Merluza,2023-03-19T00:00:00Z,JC512023,1000,NA,1000,2023,NA,NA,3,19
JC5,Merluza,2023-03-20T00:00:00Z,JC522023,1200,NA,1200,2023,NA,NA,3,20
JC5,Merluza,2023-03-20T00:00:00Z,JC532023,2100,NA,2100,2023,NA,NA,3,20
JC5,Merluza,2023-03-21T00:00:00Z,JC542023,1000,NA,1000,2023,NA,NA,3,21
JC5,Merluza,2023-03-21T00:00:00Z,JC552023,550,NA,550,2023,NA,NA,3,21
JC5,Merluza,2023-03-23T00:00:00Z,JC562023,600,NA,600,2023,NA,NA,3,23
JC5,Merluza,2023-03-23T00:00:00Z,JC572023,1700,15,1715,2023,NA,NA,3,23
JC5,Merluza,2023-03-24T00:00:00Z,JC582023,605,5,610,2023,NA,NA,3,24
